pseudo_id;account_active_days;subscription_cancel_date;order_date;koen;birthdate;usr_created;order_trackertag;permission_given_order;permission_given_today;previous_subscriptions;previous_campaigns;previous_trials;first_campaign_day;last_campaign_day;newsletters_before_order;newsletters_after_order
e1efb0bf97224357c9014734fbff2cc3;61;28-03-2025;2025-03-22 07:39:23.930000;Kvinde;28-06-1956;22-03-2025;utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk;true;true;0;0;0;22-03-2025;21-05-2025;0;0
a7d71891dcba30f635b04d7efb287a2e;377;01-01-3000;2025-03-16 08:19:33.149000;Mand;05-06-1976;16-03-2025;utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk;false;false;0;0;0;16-03-2025;15-05-2025;0;0
b614f17cb152704959cdf42349d6a4cb;1346;02-05-2025;2025-03-05 14:38:19.211000;Mand;11-04-1957;19-11-2014;utm_campaign=Marts25&utm_content=b&utm_medium=mail&utm_source=mail;false;true;6;1;2;05-03-2025;04-05-2025;3;3
5b6a7ea3f7caeadaadd87d90cc4e4780;151;14-03-2025;2025-03-14 12:58:03.023000;Mand;19-09-1980;12-12-2024;utm_campaign=Basis_22&utm_content=HeaderButtonRaised&utm_medium=Matrice&utm_source=jp.dk;false;false;1;1;0;14-03-2025;13-05-2025;0;0
dcd9d5af27530c8a408dc9233552e69b;243;16-07-2025;2025-03-06 15:40:20.598000;Kvinde;18-06-1947;22-11-2017;utm_campaign=Marts25&utm_content=A&utm_medium=content&utm_source=jp.dk;false;true;1;0;1;06-03-2025;05-05-2025;0;0
28c7f0fd6c244321b656ee0f6b4f5c25;690;01-01-3000;2025-03-21 08:08:02.935000;Mand;31-07-1939;18-07-2014;utm_campaign=Marts25&utm_content=sc_a&utm_medium=mail&utm_source=mail;true;true;3;1;2;21-03-2025;20-05-2025;3;3
addf8ac99c42c7e9e69884fdd2a6cf4a;545;18-04-2025;2025-03-19 11:04:34.753000;Kvinde;04-08-1971;21-01-2016;utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk;true;true;4;1;1;19-03-2025;18-05-2025;0;0
1d9f3d5a9795504ed312e80249efa8c7;373;01-01-3000;2025-03-20 21:27:15.884000;Mand;17-07-1976;26-09-2014;utm_campaign=Marts25&utm_content=B&utm_medium=content&utm_source=jp.dk;false;true;0;0;0;20-03-2025;19-05-2025;0;0
83da59eb70f526294fc5903113df888f;284;21-05-2025;2025-03-17 05:33:59.521000;Mand;04-06-1957;05-12-2012;utm_campaign=Marts25&utm_content=a&utm_medium=mail&utm_source=mail;false;true;1;1;1;17-03-2025;16-05-2025;0;0
232433aa3d7e847e0a462e9336be16d7;462;17-05-2025;2025-03-22 13:40:49.367000;Mand;23-03-1954;06-04-2024;utm_campaign=Marts25&utm_medium=topticker&utm_source=jp.dk;false;false;1;1;0;22-03-2025;21-05-2025;0;0
